reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
7ac4b8d0-16db-4018-b128-613d791c37c6,Awele Emmanuel,https://play-lh.googleusercontent.com/a-/ALV-UjXayM81i5DvUxICzmf8Ejqci1ypDoysmaznuKJR5DPl0rHqoQ,very good 👍,5,0,34.8.0,2026-01-21 12:56:01,Hi! Thanks for taking the time to share your feedback. Your support is greatly appreciated.,2026-01-21 13:20:05,34.8.0
6c16e532-7fca-4790-98f3-6c8f427f0aad,علي بوهلال,https://play-lh.googleusercontent.com/a-/ALV-UjX_2x8sEEAToThpo80nz-XOI4IEwouKTUd_uoRXQ_3Y5r0iv8U,عندي قنات,5,0,43.5.4,2026-01-21 12:53:55,مرحبًا! نشكرك على تخصيص جزء من وقتك لمشاركة ملاحظاتك. نقدّر لك حقًا دعمك.,2026-01-21 13:20:04,43.5.4
aca186b1-08fd-4d3a-a678-64379ed50bb6,TILAHUN ZERIHUN,https://play-lh.googleusercontent.com/a-/ALV-UjUrI2NsmN0E-IGNe7923HOKGJ-CscMdUA8Mdy8Dtmat3sYTO0EN,i want to use this app,5,0,43.5.4,2026-01-21 12:52:21,Hi! Thanks for taking the time to share your feedback. Your support is greatly appreciated.,2026-01-21 13:20:05,43.5.4
a5955cbd-5a5b-4806-a71d-7b793eab859a,Liam Forshaw,https://play-lh.googleusercontent.com/a-/ALV-UjVAQcVZQ-9Q52BXXXiw7VWCsn7ZwEH2kD78izJOcVoG6gM5vJc,it won't let me do picture in picture 😫 😩,1,0,43.5.4,2026-01-21 12:50:36,"Hi, thanks for your feedback!
We'll be sure to share your suggestion with our team for consideration. We appreciate your input, and we're always working to improve the TikTok experience!",2026-01-21 13:20:04,43.5.4
71cd11f0-0776-46b8-aa99-aeed28eb7676,Florence Asantewaa,https://play-lh.googleusercontent.com/a/ACg8ocJUWBD-TekrTpSkBtYKtYjTwHMK4mRBCxukEVwSGqQ-V6fvwQ=mo,Is nice,5,0,,2026-01-21 12:47:30,,,
af7355f9-dcbc-4074-9fed-4c4a640f2e61,Wayne Stevens,https://play-lh.googleusercontent.com/a/ACg8ocKtJx_8iargafp7MTlGZY0OTIJ_GfZUXVKADuB593EpaMnQOEEn=mo,"loading issues, reels starting then pausing constantly",1,30,43.5.4,2026-01-21 12:46:59,,,43.5.4
edf629cc-bc7a-47ab-9bae-af626e6b01b0,Zegeye Alemu (TURAA),https://play-lh.googleusercontent.com/a-/ALV-UjVFHl_SG1ARaf0DKHFMB5HlbUmrMR78ROnqIDxwid_NrGaMNfsMFQ,Nice app !!!,5,3,43.1.4,2026-01-21 12:43:55,,,43.1.4
bc3cf793-3083-40ec-b228-b4c8d5a9eeb1,Ruth Dunbar,https://play-lh.googleusercontent.com/a/ACg8ocJGmewhl9RD1QpMjyZ3pi1Q124RrYO7otXcB5XOUNVD-bUF4Q=mo,I LOVE TIC TOC ALWAYS ON IT,5,0,43.5.4,2026-01-21 12:38:01,Hi! Thanks for taking the time to share your feedback. Your support is greatly appreciated.,2026-01-21 13:00:04,43.5.4
b6c1994c-6b18-49fe-8421-463cdba1d762,yassine el-azhar,https://play-lh.googleusercontent.com/a/ACg8ocIQAlEeNjiDTnvq0NDSt-JnqS1n_e4dgviAWNUixl-XjasBZw=mo,update this app... haven't been able to share videos using WhatsApp for two months now!!!,1,0,43.6.2,2026-01-21 12:36:17,"Hi, thanks for your feedback!
We'll be sure to share your suggestion with our team for consideration. We appreciate your input, and we're always working to improve the TikTok experience!",2026-01-21 13:00:04,43.6.2
8de8bb08-a5f6-47bb-b3b8-56f4c8b37728,Naggawa Annet,https://play-lh.googleusercontent.com/a/ACg8ocKzpJgOmq8sIomHkjQAQfDLKLLwK1pTbo-Zp8oII4hF7qv07Q=mo,Doesn't allow logging in and doesn't show videos .,5,0,43.5.4,2026-01-21 12:35:40,Hi! Thanks for taking the time to share your feedback. Your support is greatly appreciated.,2026-01-21 13:00:04,43.5.4
